Product Name,Product URL,Product Price(₹),Product Rating,Product Number of Reviews
ZIPLOC Polyester 42 Liters Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack ( Black ),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM1MzIxNjI4MDk3Mzc3OjE2Nzk0ODE5MzU6c3BfYnRmOjIwMTMxNjM3NzE5Mjk4OjowOjo&url=%2FZIPLOC-Polyester-Waterproof-Backpack-Business%2Fdp%2FB099FFLQ5Q%2Fref%3Dsr_1_96_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481935%26sprefix%3Dba%252Caps%252C283%26sr%3D8-96-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,599",3.6,(10)
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM1MzIxNjI4MDk3Mzc3OjE2Nzk0ODE5MzU6c3BfYnRmOjIwMDYzNzg0NDU4Mzk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_97_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481935%26sprefix%3Dba%252Caps%252C283%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,600",4.0,(374)
"EUME Crystal 22 Liters 1 Large Compartment Laptop Backpacks Fit Up to 14-inch Laptop Anti-Theft Zipper Polyester Fabric College, Office, and Mini Business Trip Travel Bags - Grey",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTg4MDA5NTEwMzc2ODI1OjE2Nzk0ODE5NDQ6c3BfYXRmX25leHQ6MjAxMTQ0MTQyMjkwOTg6OjA6Og&url=%2FEUME-Crystal-Laptop-Backpack-Resistance%2Fdp%2FB07GLTYX1C%2Fref%3Dsr_1_97_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481944%26sprefix%3Dba%252Caps%252C283%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"2,199",4.4,(206)
Large 45L Laptop Backpack Unisex Backpack |School Bag| |College Bag Blufin Bags,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTg4MDA5NTEwMzc2ODI1OjE2Nzk0ODE5NDQ6c3BfYXRmX25leHQ6MjAxMjk1ODY4NjUzOTg6OjA6Og&url=%2FBLUFIN-Unisex-Laptop-Backpack-Large%2Fdp%2FB09TRTTVBG%2Fref%3Dsr_1_98_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481944%26sprefix%3Dba%252Caps%252C283%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,699,3.9,(54)
"SFANE Polyester 23 cms Navy Blue Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoes Compartment (Blue)",https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07ZC77WTW/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1679481944&sprefix=ba%2Caps%2C283&sr=8-99,435,4.3,"(3,165)"
Lenovo Casual Laptop Briefcase T210 (Toploader) 39.62 cm (15.6-inch) Water Repellent Black,https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1679481944&sprefix=ba%2Caps%2C283&sr=8-100,980,4.2,"(54,766)"
Lavie Women's Broxa Flap Over Sling Bag | Ladies Purse Handbag,https://www.amazon.in/Lavie-Broxa-Womens-Sling-Plum/dp/B08JDG1NKX/ref=sr_1_101?crid=2M096C61O4MLT&keywords=bags&qid=1679481944&sprefix=ba%2Caps%2C283&sr=8-101,"1,069",4.2,"(5,681)"
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_97?crid=2M096C61O4MLT&keywords=bags&qid=1679481944&sprefix=ba%2Caps%2C283&sr=8-97,"1,299",4.1,(8)
"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)",https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR/ref=sr_1_98?crid=2M096C61O4MLT&keywords=bags&qid=1679481944&sprefix=ba%2Caps%2C283&sr=8-98,512,4.0,(436)
Safari Prisma 32 Ltrs Black Casual Backpack (PRISMA19CBBLK),https://www.amazon.in/Safari-Black-Casual-Backpack-PRISMA19CBBLK/dp/B07HN5TMQL/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1679481944&sprefix=ba%2Caps%2C283&sr=8-99,899,3.9,(846)
"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1679481944&sprefix=ba%2Caps%2C283&sr=8-100,249,4.1,"(8,167)"
"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (Black)",https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZHX3B1/ref=sr_1_101?crid=2M096C61O4MLT&keywords=bags&qid=1679481944&sprefix=ba%2Caps%2C283&sr=8-101,512,4.0,(436)
"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack , Water Resistant and Light Weight, 1 year Warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTg4MDA5NTEwMzc2ODI1OjE2Nzk0ODE5NDQ6c3BfbXRmOjIwMDc3MjE1ODgwNDk4OjowOjo&url=%2FPOLESTAR-Vintage-Laptop-Backpack-bagpack%2Fdp%2FB081GSQ9D9%2Fref%3Dsr_1_102_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481944%26sprefix%3Dba%252Caps%252C283%26sr%3D8-102-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,549,3.9,"(8,533)"
